15-May-2013 14:28:46
Z:\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20130515-05.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-CAD-04.19.13-ch03
Sm = [0.00  0.12  0.27  0.46  0.70  1.00]
Dy = [0.00  0.12  0.27  0.46  0.70  1.00]
Tm = [0.00  0.12  0.27  0.46  0.70  1.00]
Mixer cleaning time = 6.00 sec
Mixing time = 3.00 min 30.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 3.00 min 0.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [17.46  18.35  18.17  14.00   0.38]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [17.46  18.35  18.17  14.00   0.38]
Flush/clean water: ch = 1, press = 4.00 psi
Oil: ch = 3, press = 15.00 psi
Push Water: ch = 2, press = 5.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  8,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C8,  C7,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
In code #	6	Tm pressure was set from	1.855556e+01	to maximum MFCS pressure
In code #	24	Dy pressure was set from	1.873756e+01	to maximum MFCS pressure
In code #	78	Sm pressure was set from	1.784156e+01	to maximum MFCS pressure
1	0.00	0.00	0.00	1.00	0.38	 0.38	 0.38	14.38
2	0.00	0.00	0.12	0.88	0.38	 0.38	 5.29	10.60
3	0.00	0.00	0.27	0.73	0.38	 0.38	13.10	 4.58
4	0.00	0.00	0.46	0.54	0.38	 2.59	 0.38	12.70
5	0.00	0.00	0.70	0.30	0.38	2.59	5.29	8.92
6	0.00	0.00	1.00	0.00	0.38	 2.59	13.10	 2.90
7	0.00	0.12	0.00	0.88	0.38	5.34	2.56	8.92
8	0.00	0.12	0.12	0.76	0.38	5.34	8.74	4.16
9	0.00	0.12	0.27	0.61	0.38	8.83	0.38	7.94
10	0.00	0.12	0.46	0.42	0.38	8.83	5.29	4.16
11	0.00	0.12	0.70	0.18	0.38	13.23	 0.38	 4.58
12	0.00	0.27	0.00	0.73	0.38	13.23	 5.29	 0.80
13	0.00	0.27	0.12	0.61	2.48	 0.38	 0.38	12.70
14	0.00	0.27	0.27	0.46	2.48	0.38	5.29	8.92
