20-Jun-2013 11:59:25
Z:\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20130620-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-CAD-05.22.13-ch04
Sm = [0.00  0.12  0.27  0.46  0.70  1.00  0.00  0.12  0.27  0.46  0.70  1.00]
Dy = [0.00  0.12  0.27  0.46  0.70  1.00  0.00  0.12  0.27  0.46  0.70  1.00]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 3.00 min 30.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 3.00 min 0.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [13.30  13.89  12.60  14.00   0.38]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [17.46  18.35  18.17  14.00   0.38]
Flush/clean water: ch = 1, press = 4.00 psi
Oil: ch = 3, press = 15.00 psi
Push Water: ch = 2, press = 5.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  5,  7,  4,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C6,  C3,  C8,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.38	 0.38	 0.38	14.38
2	0.00	0.12	0.00	0.88	0.38	 4.13	 0.38	10.60
3	0.00	0.27	0.00	0.73	0.38	10.11	 0.38	 4.58
4	0.00	0.46	0.00	0.54	0.38	 0.38	 0.38	14.38
5	0.00	0.70	0.00	0.30	0.38	 4.13	 0.38	10.60
6	0.00	1.00	0.00	0.00	0.38	10.11	 0.38	 4.58
7	0.00	0.00	0.00	1.00	1.98	 0.38	 0.38	12.70
8	0.00	0.12	0.00	0.88	1.98	4.13	0.38	8.92
9	0.00	0.27	0.00	0.73	1.98	10.11	 0.38	 2.90
10	0.00	0.46	0.00	0.54	1.98	 2.05	 0.38	11.02
11	0.00	0.70	0.00	0.30	1.98	6.77	0.38	6.26
12	0.00	1.00	0.00	0.00	3.97	 0.38	 0.38	10.60
13	0.12	0.00	0.00	0.88	3.97	4.13	0.38	6.82
14	0.12	0.12	0.00	0.76	3.97	10.11	 0.38	 0.80
15	0.12	0.27	0.00	0.61	3.97	2.05	0.38	8.92
16	0.12	0.46	0.00	0.42	3.97	6.77	0.38	4.16
17	0.12	0.70	0.00	0.18	6.50	0.38	0.38	7.94
18	0.12	0.00	0.00	0.88	6.50	4.13	0.38	4.16
