25-Jun-2014 16:29:18
Z:\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140625-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch01
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.28  14.37  15.47  14.00   0.27]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.27]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.27	 0.27	 0.27	14.27
2	0.00	0.03	0.00	0.97	0.27	 0.73	 0.27	13.81
3	0.00	0.07	0.00	0.93	0.27	 1.32	 0.27	13.24
4	0.00	0.12	0.00	0.88	0.27	 2.04	 0.27	12.53
5	0.00	0.19	0.00	0.81	0.27	 2.95	 0.27	11.66
6	0.00	0.26	0.00	0.74	0.27	 4.07	 0.27	10.56
7	0.00	0.36	0.00	0.64	0.27	5.47	0.27	9.20
8	0.00	0.48	0.00	0.52	0.27	7.20	0.27	7.51
9	0.00	0.63	0.00	0.37	0.27	9.37	0.27	5.40
10	0.00	0.82	0.00	0.18	0.27	12.06	 0.27	 2.78
11	0.04	0.00	0.00	0.96	0.84	 0.27	 0.27	13.70
12	0.04	0.03	0.00	0.93	0.84	 0.73	 0.27	13.25
13	0.04	0.07	0.00	0.89	0.84	 1.32	 0.27	12.68
14	0.04	0.12	0.00	0.84	0.84	 2.04	 0.27	11.97
15	0.04	0.19	0.00	0.77	0.84	 2.95	 0.27	11.09
16	0.04	0.26	0.00	0.70	0.84	 4.07	 0.27	10.00
17	0.04	0.36	0.00	0.60	0.84	5.47	0.27	8.64
18	0.04	0.48	0.00	0.48	0.84	7.20	0.27	6.94
19	0.04	0.63	0.00	0.33	0.84	9.37	0.27	4.83
20	0.04	0.82	0.00	0.14	0.84	12.06	 0.27	 2.21
21	0.09	0.00	0.00	0.91	1.54	 0.27	 0.27	13.02
22	0.09	0.03	0.00	0.88	1.54	 0.73	 0.27	12.56
