26-Jun-2014 19:26:50
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140626-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch01
Sm = [0.00  0.06  0.14  0.24  0.37  0.55  0.78]
Dy = [0.00  0.05  0.11  0.20  0.32  0.49  0.71]
Tm = [0.00  0.06  0.15  0.28  0.47  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.89  15.12  16.00  14.00   0.29]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.50 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	14.29
2	0.00	0.00	0.06	0.94	0.29	 0.29	 1.26	13.43
3	0.00	0.00	0.15	0.85	0.29	 0.29	 2.69	12.18
4	0.00	0.00	0.28	0.72	0.29	 0.29	 4.79	10.34
5	0.00	0.00	0.47	0.53	0.29	0.29	7.87	7.65
6	0.00	0.00	0.76	0.24	0.29	 0.29	12.38	 3.70
7	0.00	0.05	0.00	0.95	0.29	 1.01	 0.29	13.61
8	0.00	0.05	0.06	0.89	0.29	 1.01	 1.26	12.76
9	0.00	0.05	0.15	0.80	0.29	 1.01	 2.69	11.51
10	0.00	0.05	0.28	0.67	0.29	1.01	4.79	9.67
11	0.00	0.05	0.47	0.48	0.29	1.01	7.87	6.98
12	0.00	0.05	0.76	0.20	0.29	 1.01	12.38	 3.03
13	0.00	0.11	0.00	0.89	0.29	 2.00	 0.29	12.70
14	0.00	0.11	0.06	0.83	0.29	 2.00	 1.26	11.85
15	0.00	0.11	0.15	0.74	0.29	 2.00	 2.69	10.59
16	0.00	0.11	0.28	0.61	0.29	2.00	4.79	8.76
17	0.00	0.11	0.47	0.41	0.29	2.00	7.87	6.07
18	0.00	0.11	0.76	0.13	0.29	 2.00	12.38	 2.12
19	0.00	0.20	0.00	0.80	0.29	 3.34	 0.29	11.46
20	0.00	0.20	0.06	0.74	0.29	 3.34	 1.26	10.60
21	0.00	0.20	0.15	0.65	0.29	3.34	2.69	9.35
22	0.00	0.20	0.28	0.52	0.29	3.34	4.79	7.52
23	0.00	0.20	0.47	0.32	0.29	3.34	7.87	4.82
24	0.00	0.20	0.76	0.04	0.29	 3.34	12.38	 0.88
25	0.00	0.32	0.00	0.68	0.29	5.16	0.29	9.77
