02-Jul-2014 12:45:52
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140702-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch03
Sm = [0.00  0.14  0.37  0.78]
Dy = [0.00  0.11  0.32  0.71]
Tm = [0.00  0.28  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.22  14.73  16.48  14.00   0.23]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C6]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.23	 0.23	 0.23	14.23
2	0.00	0.00	0.28	0.72	0.23	 0.23	 4.87	10.29
3	0.00	0.00	0.76	0.24	0.23	 0.23	12.69	 3.65
4	0.00	0.11	0.00	0.89	0.23	 1.90	 0.23	12.64
5	0.00	0.11	0.28	0.61	0.23	1.90	4.87	8.70
6	0.00	0.11	0.76	0.13	0.23	 1.90	12.69	 2.06
7	0.00	0.32	0.00	0.68	0.23	4.98	0.23	9.71
8	0.00	0.32	0.28	0.40	0.23	4.98	4.87	5.77
9	0.00	0.71	0.00	0.29	0.23	10.68	 0.23	 4.30
10	0.00	0.71	0.28	0.01	0.23	10.68	 4.87	 0.36
11	0.14	0.00	0.00	0.86	2.17	 0.23	 0.23	12.32
12	0.14	0.00	0.28	0.58	2.17	0.23	4.87	8.38
13	0.14	0.00	0.76	0.11	2.17	 0.23	12.69	 1.74
14	0.14	0.11	0.00	0.75	2.17	 1.90	 0.23	10.73
15	0.14	0.11	0.28	0.47	2.17	1.90	4.87	6.79
16	0.14	0.32	0.00	0.54	2.17	4.98	0.23	7.80
17	0.14	0.32	0.28	0.26	2.17	4.98	4.87	3.86
18	0.14	0.71	0.00	0.15	2.17	10.68	 0.23	 2.39
19	0.37	0.00	0.00	0.63	5.51	0.23	0.23	9.03
20	0.37	0.00	0.28	0.35	5.51	0.23	4.87	5.09
21	0.37	0.11	0.00	0.52	5.51	1.90	0.23	7.44
22	0.37	0.11	0.28	0.23	5.51	1.90	4.87	3.50
23	0.37	0.32	0.00	0.31	5.51	4.98	0.23	4.51
24	0.37	0.32	0.28	0.02	5.51	4.98	4.87	0.57
25	0.78	0.00	0.00	0.22	11.28	 0.23	 0.23	 3.35
26	0.78	0.11	0.00	0.11	11.28	 1.90	 0.23	 1.76
Mixer 2
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.29	 0.29	 0.29	14.29
2	0.00	0.00	0.28	0.72	0.29	 0.29	 4.76	10.34
3	0.00	0.00	0.76	0.24	0.29	 0.29	12.30	 3.70
4	0.00	0.11	0.00	0.89	0.29	 1.96	 0.29	12.70
5	0.00	0.11	0.28	0.61	0.29	1.96	4.76	8.76
6	0.00	0.11	0.76	0.13	0.29	 1.96	12.30	 2.12
7	0.00	0.32	0.00	0.68	0.29	5.04	0.29	9.77
8	0.00	0.32	0.28	0.40	0.29	5.04	4.76	5.83
9	0.00	0.71	0.00	0.29	0.29	10.74	 0.29	 4.35
10	0.00	0.71	0.28	0.01	0.29	10.74	 4.76	 0.41
11	0.14	0.00	0.00	0.86	2.33	 0.29	 0.29	12.38
12	0.14	0.00	0.28	0.58	2.33	0.29	4.76	8.44
13	0.14	0.00	0.76	0.11	2.33	 0.29	12.30	 1.79
14	0.14	0.11	0.00	0.75	2.33	 1.96	 0.29	10.79
15	0.14	0.11	0.28	0.47	2.33	1.96	4.76	6.85
16	0.14	0.32	0.00	0.54	2.33	5.04	0.29	7.86
17	0.14	0.32	0.28	0.26	2.33	5.04	4.76	3.92
18	0.14	0.71	0.00	0.15	2.33	10.74	 0.29	 2.45
19	0.37	0.00	0.00	0.63	5.84	0.29	0.29	9.09
20	0.37	0.00	0.28	0.35	5.84	0.29	4.76	5.15
21	0.37	0.11	0.00	0.52	5.84	1.96	0.29	7.50
22	0.37	0.11	0.28	0.23	5.84	1.96	4.76	3.56
23	0.37	0.32	0.00	0.31	5.84	5.04	0.29	4.57
24	0.37	0.32	0.28	0.02	5.84	5.04	4.76	0.63
25	0.78	0.00	0.00	0.22	11.91	 0.29	 0.29	 3.41
26	0.78	0.11	0.00	0.11	11.91	 1.96	 0.29	 1.82
% Making Code # 1 = [0.00  0.00  0.00  1.00]
% Making Code # 2 = [0.00  0.00  0.28  0.72]
% Making Code # 3 = [0.00  0.00  0.76  0.24]
% Making Code # 4 = [0.00  0.11  0.00  0.89]
% Making Code # 5 = [0.00  0.11  0.28  0.61]
% Making Code # 6 = [0.00  0.11  0.76  0.13]
% Making Code # 7 = [0.00  0.32  0.00  0.68]
% Making Code # 8 = [0.00  0.32  0.28  0.40]
% Making Code # 9 = [0.00  0.71  0.00  0.29]
% Making Code # 10 = [0.00  0.71  0.28  0.01]
% Making Code # 11 = [0.14  0.00  0.00  0.86]
% Making Code # 12 = [0.14  0.00  0.28  0.58]
% Making Code # 13 = [0.14  0.00  0.76  0.11]
% Making Code # 14 = [0.14  0.11  0.00  0.75]
% Making Code # 15 = [0.14  0.11  0.28  0.47]
% Making Code # 16 = [0.14  0.32  0.00  0.54]
% Making Code # 17 = [0.14  0.32  0.28  0.26]
% Making Code # 18 = [0.14  0.71  0.00  0.15]
% Making Code # 19 = [0.37  0.00  0.00  0.63]
% Making Code # 20 = [0.37  0.00  0.28  0.35]
% Making Code # 21 = [0.37  0.11  0.00  0.52]
% Making Code # 22 = [0.37  0.11  0.28  0.23]
% Making Code # 23 = [0.37  0.32  0.00  0.31]
% Making Code # 24 = [0.37  0.32  0.28  0.02]
% Making Code # 25 = [0.78  0.00  0.00  0.22]
% Making Code # 26 = [0.78  0.11  0.00  0.11]
% DONE!
