02-Jul-2014 17:44:05
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140702-02.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0A-PMF-06.12.14-ch03
Sm = [0.00  0.04  0.09  0.15  0.22  0.31  0.41  0.54  0.70  0.89]
Dy = [0.00  0.03  0.07  0.12  0.19  0.26  0.36  0.48  0.63  0.82]
Tm = [0.00]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 25.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.42  14.73  16.48  14.00   0.23]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Flush/clean water: ch = 1, press = 6.00 psi
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C6]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.23	 0.23	 0.23	14.23
2	0.00	0.03	0.00	0.97	0.23	 0.71	 0.23	13.77
3	0.00	0.07	0.00	0.93	0.23	 1.31	 0.23	13.20
4	0.00	0.12	0.00	0.88	0.23	 2.05	 0.23	12.50
5	0.00	0.19	0.00	0.81	0.23	 2.98	 0.23	11.62
6	0.00	0.26	0.00	0.74	0.23	 4.13	 0.23	10.52
7	0.00	0.36	0.00	0.64	0.23	5.56	0.23	9.16
8	0.00	0.48	0.00	0.52	0.23	7.34	0.23	7.47
9	0.00	0.63	0.00	0.37	0.23	9.56	0.23	5.36
10	0.00	0.82	0.00	0.18	0.23	12.32	 0.23	 2.74
11	0.04	0.00	0.00	0.96	0.81	 0.23	 0.23	13.66
12	0.04	0.03	0.00	0.93	0.81	 0.71	 0.23	13.21
13	0.04	0.07	0.00	0.89	0.81	 1.31	 0.23	12.64
14	0.04	0.12	0.00	0.84	0.81	 2.05	 0.23	11.93
15	0.04	0.19	0.00	0.77	0.81	 2.98	 0.23	11.05
16	0.04	0.26	0.00	0.70	0.81	4.13	0.23	9.96
17	0.04	0.36	0.00	0.60	0.81	5.56	0.23	8.60
18	0.04	0.48	0.00	0.48	0.81	7.34	0.23	6.90
19	0.04	0.63	0.00	0.33	0.81	9.56	0.23	4.80
20	0.04	0.82	0.00	0.14	0.81	12.32	 0.23	 2.17
21	0.09	0.00	0.00	0.91	1.51	 0.23	 0.23	12.98
22	0.09	0.03	0.00	0.88	1.51	 0.71	 0.23	12.52
23	0.09	0.07	0.00	0.84	1.51	 1.31	 0.23	11.95
24	0.09	0.12	0.00	0.79	1.51	 2.05	 0.23	11.25
25	0.09	0.19	0.00	0.72	1.51	 2.98	 0.23	10.37
26	0.09	0.26	0.00	0.65	1.51	4.13	0.23	9.27
27	0.09	0.36	0.00	0.55	1.51	5.56	0.23	7.91
28	0.09	0.48	0.00	0.43	1.51	7.34	0.23	6.22
29	0.09	0.63	0.00	0.28	1.51	9.56	0.23	4.11
30	0.09	0.82	0.00	0.09	1.51	12.32	 0.23	 1.49
31	0.15	0.00	0.00	0.85	2.37	 0.23	 0.23	12.15
32	0.15	0.03	0.00	0.82	2.37	 0.71	 0.23	11.69
33	0.15	0.07	0.00	0.78	2.37	 1.31	 0.23	11.12
34	0.15	0.12	0.00	0.73	2.37	 2.05	 0.23	10.42
35	0.15	0.19	0.00	0.66	2.37	2.98	0.23	9.54
36	0.15	0.26	0.00	0.59	2.37	4.13	0.23	8.44
37	0.15	0.36	0.00	0.49	2.37	5.56	0.23	7.08
38	0.15	0.48	0.00	0.37	2.37	7.34	0.23	5.39
39	0.15	0.63	0.00	0.22	2.37	9.56	0.23	3.28
40	0.15	0.82	0.00	0.03	2.37	12.32	 0.23	 0.66
41	0.22	0.00	0.00	0.78	3.41	 0.23	 0.23	11.14
42	0.22	0.03	0.00	0.75	3.41	 0.71	 0.23	10.68
43	0.22	0.07	0.00	0.71	3.41	 1.31	 0.23	10.11
44	0.22	0.12	0.00	0.66	3.41	2.05	0.23	9.41
45	0.22	0.19	0.00	0.59	3.41	2.98	0.23	8.53
46	0.22	0.26	0.00	0.51	3.41	4.13	0.23	7.43
47	0.22	0.36	0.00	0.42	3.41	5.56	0.23	6.07
48	0.22	0.48	0.00	0.30	3.41	7.34	0.23	4.38
49	0.22	0.63	0.00	0.15	3.41	9.56	0.23	2.27
50	0.31	0.00	0.00	0.69	4.67	0.23	0.23	9.91
