30-Jul-2014 12:34:31
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140730-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0B-PMF-06.12.14-ch02
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 45.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.52  14.35  14.86  15.75  14.00   0.61]
Resistances Mix2r 2 = [Sm, Dy, Tm, CeTb, Eu, mix] [14.97  14.74  15.90  14.00  14.00   0.29]
Oil: ch = 3, press = 9.00 psi
Push Water: ch = 2, press = 5.50 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, CeTb, Eu]  [6,  7,  4,  1,  5,]
Lanthanide Valves: [Sm, Dy, Tm, CeTb, Eu]  [C2,  C3,  C4,  C6,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_CeTb	Flow_Eu	P_Sm	P_Dy	P_Tm	P_CeTb	P_Eu
1	0.00	0.00	0.00	0.00	1.00	0.61	 0.61	 0.61	 0.61	14.61
2	0.00	0.00	0.05	0.00	0.95	0.61	 0.61	 1.34	 0.61	13.93
3	0.00	0.00	0.15	0.00	0.85	0.61	 0.61	 2.82	 0.61	12.53
4	0.00	0.00	0.35	0.00	0.65	0.61	0.61	5.87	0.61	9.67
5	0.00	0.00	0.77	0.00	0.23	0.61	 0.61	12.10	 0.61	 3.79
6	0.00	0.00	0.00	0.74	0.26	0.61	 0.61	 0.61	12.28	 4.24
7	0.00	0.00	0.05	0.74	0.21	0.61	 0.61	 1.34	12.28	 3.56
8	0.00	0.00	0.15	0.74	0.11	0.61	 0.61	 2.82	12.28	 2.16
9	0.04	0.00	0.00	0.00	0.96	1.24	 0.61	 0.61	 0.61	14.01
10	0.04	0.00	0.05	0.00	0.91	1.24	 0.61	 1.34	 0.61	13.33
11	0.04	0.00	0.15	0.00	0.81	1.24	 0.61	 2.82	 0.61	11.93
12	0.04	0.00	0.35	0.00	0.60	1.24	0.61	5.87	0.61	9.07
