10-Sep-2014 15:46:23
D:\Secondlife-32\Matlab\BeadSynthesizerV3.0\Scripts\SynthesisLog_20140910-01.txt
BEAD PRODUCTION LOG
Chip serial code: BS3.0-PMF-07.30.14-ch02
Sm = [0.00  0.06  0.14  0.24  0.37  0.55  0.78]
Dy = [0.00  0.05  0.11  0.20  0.32  0.49  0.71]
Tm = [0.00  0.06  0.15  0.28  0.47  0.76]
Mixer cleaning time = 6.00 sec
Mixing time = 1.00 min 45.00 sec
Drop stabilization time = 30.00 sec
UV polymerization time = 2.00 min 30.00 sec
Polymerization channel = Polymerization
Resistances Mixer 1 = [Sm, Dy, Tm, Eu, mix] [14.00  14.35  14.22  14.00   0.74]
Resistances Mix2r 2 = [Sm, Dy, Tm, Eu, mix] [14.97  14.74  15.90  14.00   0.29]
Oil: ch = 3, press = 8.00 psi
Push Water: ch = 2, press = 6.00 psi
Lanthanide MFCS Channels: [Sm, Dy, Tm, Eu]  [6,  7,  4,  5,]
Lanthanide Valves: [Sm, Dy, Tm, Eu]  [C2,  C3,  C4,  C1]
Mixer 1
Code#	Flow_Sm	Flow_Dy	Flow_Tm	Flow_Eu	P_Sm	P_Dy	P_Tm	P_Eu
1	0.00	0.00	0.00	1.00	0.74	 0.74	 0.74	14.74
2	0.00	0.00	0.06	0.94	0.74	 0.74	 1.60	13.88
3	0.00	0.00	0.15	0.85	0.74	 0.74	 2.88	12.63
4	0.00	0.00	0.28	0.72	0.74	 0.74	 4.74	10.80
5	0.00	0.00	0.47	0.53	0.74	0.74	7.48	8.10
6	0.00	0.00	0.76	0.24	0.74	 0.74	11.49	 4.15
7	0.00	0.05	0.00	0.95	0.74	 1.43	 0.74	14.06
8	0.00	0.05	0.06	0.89	0.74	 1.43	 1.60	13.21
9	0.00	0.05	0.15	0.80	0.74	 1.43	 2.88	11.96
10	0.00	0.05	0.28	0.67	0.74	 1.43	 4.74	10.12
11	0.00	0.05	0.47	0.48	0.74	1.43	7.48	7.43
12	0.00	0.05	0.76	0.20	0.74	 1.43	11.49	 3.48
13	0.00	0.11	0.00	0.89	0.74	 2.36	 0.74	13.15
14	0.00	0.11	0.06	0.83	0.74	 2.36	 1.60	12.30
15	0.00	0.11	0.15	0.74	0.74	 2.36	 2.88	11.05
16	0.00	0.11	0.28	0.61	0.74	2.36	4.74	9.21
17	0.00	0.11	0.47	0.41	0.74	2.36	7.48	6.52
18	0.00	0.11	0.76	0.13	0.74	 2.36	11.49	 2.57
19	0.00	0.20	0.00	0.80	0.74	 3.64	 0.74	11.91
20	0.00	0.20	0.06	0.74	0.74	 3.64	 1.60	11.05
21	0.00	0.20	0.15	0.65	0.74	3.64	2.88	9.80
22	0.00	0.20	0.28	0.52	0.74	3.64	4.74	7.97
23	0.00	0.20	0.47	0.32	0.74	3.64	7.48	5.28
24	0.00	0.20	0.76	0.04	0.74	 3.64	11.49	 1.33
25	0.00	0.32	0.00	0.68	0.74	 5.37	 0.74	10.22
26	0.00	0.32	0.06	0.62	0.74	5.37	1.60	9.37
27	0.00	0.32	0.15	0.53	0.74	5.37	2.88	8.11
28	0.00	0.32	0.28	0.40	0.74	5.37	4.74	6.28
29	0.00	0.32	0.47	0.20	0.74	5.37	7.48	3.59
30	0.00	0.49	0.00	0.51	0.74	7.72	0.74	7.93
31	0.00	0.49	0.06	0.45	0.74	7.72	1.60	7.07
32	0.00	0.49	0.15	0.36	0.74	7.72	2.88	5.82
33	0.00	0.49	0.28	0.23	0.74	7.72	4.74	3.98
34	0.00	0.49	0.47	0.04	0.74	7.72	7.48	1.29
35	0.00	0.71	0.00	0.29	0.74	10.92	 0.74	 4.81
36	0.00	0.71	0.06	0.23	0.74	10.92	 1.60	 3.95
37	0.00	0.71	0.15	0.14	0.74	10.92	 2.88	 2.70
38	0.00	0.71	0.28	0.01	0.74	10.92	 4.74	 0.86
39	0.06	0.00	0.00	0.94	1.56	 0.74	 0.74	13.91
40	0.06	0.00	0.06	0.88	1.56	 0.74	 1.60	13.06
41	0.06	0.00	0.15	0.79	1.56	 0.74	 2.88	11.81
42	0.06	0.00	0.28	0.66	1.56	0.74	4.74	9.97
43	0.06	0.00	0.47	0.47	1.56	0.74	7.48	7.28
44	0.06	0.00	0.76	0.19	1.56	 0.74	11.49	 3.33
45	0.06	0.05	0.00	0.89	1.56	 1.43	 0.74	13.24
46	0.06	0.05	0.06	0.83	1.56	 1.43	 1.60	12.39
47	0.06	0.05	0.15	0.74	1.56	 1.43	 2.88	11.13
48	0.06	0.05	0.28	0.61	1.56	1.43	4.74	9.30
49	0.06	0.05	0.47	0.42	1.56	1.43	7.48	6.61
50	0.06	0.05	0.76	0.14	1.56	 1.43	11.49	 2.66
51	0.06	0.11	0.00	0.83	1.56	 2.36	 0.74	12.33
52	0.06	0.11	0.06	0.77	1.56	 2.36	 1.60	11.47
53	0.06	0.11	0.15	0.68	1.56	 2.36	 2.88	10.22
54	0.06	0.11	0.28	0.55	1.56	2.36	4.74	8.39
55	0.06	0.11	0.47	0.35	1.56	2.36	7.48	5.69
56	0.06	0.11	0.76	0.07	1.56	 2.36	11.49	 1.74
57	0.06	0.20	0.00	0.74	1.56	 3.64	 0.74	11.08
58	0.06	0.20	0.06	0.68	1.56	 3.64	 1.60	10.23
59	0.06	0.20	0.15	0.59	1.56	3.64	2.88	8.98
60	0.06	0.20	0.28	0.46	1.56	3.64	4.74	7.14
61	0.06	0.20	0.47	0.27	1.56	3.64	7.48	4.45
62	0.06	0.32	0.00	0.62	1.56	5.37	0.74	9.40
63	0.06	0.32	0.06	0.56	1.56	5.37	1.60	8.54
64	0.06	0.32	0.15	0.47	1.56	5.37	2.88	7.29
65	0.06	0.32	0.28	0.34	1.56	5.37	4.74	5.45
66	0.06	0.32	0.47	0.14	1.56	5.37	7.48	2.76
67	0.06	0.49	0.00	0.45	1.56	7.72	0.74	7.10
68	0.06	0.49	0.06	0.39	1.56	7.72	1.60	6.25
69	0.06	0.49	0.15	0.30	1.56	7.72	2.88	5.00
70	0.06	0.49	0.28	0.17	1.56	7.72	4.74	3.16
71	0.06	0.71	0.00	0.23	1.56	10.92	 0.74	 3.98
72	0.06	0.71	0.06	0.17	1.56	10.92	 1.60	 3.13
73	0.06	0.71	0.15	0.08	1.56	10.92	 2.88	 1.88
74	0.14	0.00	0.00	0.86	2.65	 0.74	 0.74	12.83
75	0.14	0.00	0.06	0.80	2.65	 0.74	 1.60	11.97
76	0.14	0.00	0.15	0.71	2.65	 0.74	 2.88	10.72
77	0.14	0.00	0.28	0.58	2.65	0.74	4.74	8.89
78	0.14	0.00	0.47	0.39	2.65	0.74	7.48	6.20
79	0.14	0.00	0.76	0.11	2.65	 0.74	11.49	 2.25
80	0.14	0.05	0.00	0.82	2.65	 1.43	 0.74	12.16
81	0.14	0.05	0.06	0.75	2.65	 1.43	 1.60	11.30
82	0.14	0.05	0.15	0.67	2.65	 1.43	 2.88	10.05
83	0.14	0.05	0.28	0.53	2.65	1.43	4.74	8.22
84	0.14	0.05	0.47	0.34	2.65	1.43	7.48	5.52
85	0.14	0.05	0.76	0.06	2.65	 1.43	11.49	 1.57
86	0.14	0.11	0.00	0.75	2.65	 2.36	 0.74	11.24
87	0.14	0.11	0.06	0.69	2.65	 2.36	 1.60	10.39
88	0.14	0.11	0.15	0.60	2.65	2.36	2.88	9.14
89	0.14	0.11	0.28	0.47	2.65	2.36	4.74	7.30
90	0.14	0.11	0.47	0.28	2.65	2.36	7.48	4.61
91	0.14	0.20	0.00	0.66	2.65	 3.64	 0.74	10.00
92	0.14	0.20	0.06	0.60	2.65	3.64	1.60	9.15
93	0.14	0.20	0.15	0.51	2.65	3.64	2.88	7.90
94	0.14	0.20	0.28	0.38	2.65	3.64	4.74	6.06
95	0.14	0.20	0.47	0.19	2.65	3.64	7.48	3.37
96	0.14	0.32	0.00	0.54	2.65	5.37	0.74	8.31
97	0.14	0.32	0.06	0.48	2.65	5.37	1.60	7.46
98	0.14	0.32	0.15	0.39	2.65	5.37	2.88	6.21
99	0.14	0.32	0.28	0.26	2.65	5.37	4.74	4.37
100	0.14	0.32	0.47	0.07	2.65	5.37	7.48	1.68
101	0.14	0.49	0.00	0.38	2.65	7.72	0.74	6.02
102	0.14	0.49	0.06	0.32	2.65	7.72	1.60	5.16
103	0.14	0.49	0.15	0.23	2.65	7.72	2.88	3.91
104	0.14	0.49	0.28	0.10	2.65	7.72	4.74	2.08
105	0.14	0.71	0.00	0.15	2.65	10.92	 0.74	 2.90
106	0.14	0.71	0.06	0.09	2.65	10.92	 1.60	 2.04
107	0.14	0.71	0.15	0.00	2.65	10.92	 2.88	 0.79
108	0.24	0.00	0.00	0.76	4.07	 0.74	 0.74	11.41
109	0.24	0.00	0.06	0.70	4.07	 0.74	 1.60	10.55
110	0.24	0.00	0.15	0.61	4.07	0.74	2.88	9.30
111	0.24	0.00	0.28	0.48	4.07	0.74	4.74	7.47
112	0.24	0.00	0.47	0.29	4.07	0.74	7.48	4.77
113	0.24	0.00	0.76	0.01	4.07	 0.74	11.49	 0.82
114	0.24	0.05	0.00	0.71	4.07	 1.43	 0.74	10.73
115	0.24	0.05	0.06	0.65	4.07	1.43	1.60	9.88
116	0.24	0.05	0.15	0.56	4.07	1.43	2.88	8.63
117	0.24	0.05	0.28	0.43	4.07	1.43	4.74	6.79
118	0.24	0.05	0.47	0.24	4.07	1.43	7.48	4.10
119	0.24	0.11	0.00	0.65	4.07	2.36	0.74	9.82
120	0.24	0.11	0.06	0.59	4.07	2.36	1.60	8.97
121	0.24	0.11	0.15	0.50	4.07	2.36	2.88	7.71
122	0.24	0.11	0.28	0.37	4.07	2.36	4.74	5.88
123	0.24	0.11	0.47	0.18	4.07	2.36	7.48	3.19
124	0.24	0.20	0.00	0.56	4.07	3.64	0.74	8.58
125	0.24	0.20	0.06	0.50	4.07	3.64	1.60	7.72
126	0.24	0.20	0.15	0.41	4.07	3.64	2.88	6.47
127	0.24	0.20	0.28	0.28	4.07	3.64	4.74	4.64
128	0.24	0.20	0.47	0.09	4.07	3.64	7.48	1.95
129	0.24	0.32	0.00	0.44	4.07	5.37	0.74	6.89
130	0.24	0.32	0.06	0.38	4.07	5.37	1.60	6.04
131	0.24	0.32	0.15	0.29	4.07	5.37	2.88	4.78
132	0.24	0.32	0.28	0.16	4.07	5.37	4.74	2.95
133	0.24	0.49	0.00	0.28	4.07	7.72	0.74	4.60
134	0.24	0.49	0.06	0.21	4.07	7.72	1.60	3.74
135	0.24	0.49	0.15	0.13	4.07	7.72	2.88	2.49
136	0.24	0.71	0.00	0.05	4.07	10.92	 0.74	 1.47
137	0.37	0.00	0.00	0.63	5.94	0.74	0.74	9.54
138	0.37	0.00	0.06	0.57	5.94	0.74	1.60	8.68
